Following data is valid as of 20260901.

Transaction history is available for the last 90 days.

First Bank Card,Transaction Type,Date Posted,Transaction Amount,Description
'5191230000000000',DR,20260301,-2350.00,RENT PAYMENT 84 BROADVIEW AVE
'5191230000000000',DR,20260303,-54.22,GOODLIFE CLUBS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260305,-168.00,BELAIRDIRECT INSURANCE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260305,-880.00,LITTLE MAPLE DAYCARE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260306,-74.50,SUN LIFE ASSURANCE MISC PAYMENT
'5191230000000000',DR,20260308,-97.76,TORONTO HYDRO BILL PAYMENT
'5191230000000000',DR,20260309,-115.20,ENBRIDGE GAS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260310,-101.66,PRESTO FARE/TRANSIT TORONTO ON
'5191230000000000',DR,20260312,-99.09,IDP PURCHASE - 5127 LOBLAWS #4861 TORONTO ON
'5191230000000000',DR,20260312,-89.99,ROGERS PREAUTHORIZED PAYMENT
'5191230000000000',DR,20260313,-29.03,IDP PURCHASE - 4876 SHOPPERS DRUG MART #562 ON
'5191230000000000',DR,20260314,-45.00,FREEDOM MOBILE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260316,-22.99,NETFLIX.COM MISC PAYMENT
'5191230000000000',DR,20260317,-16.99,SPOTIFY P2C5 MISC PAYMENT
'5191230000000000',DR,20260318,-208.33,RESP CONTRIBUTION CST SAVINGS
'5191230000000000',CR,20260320,619.75,CANADA FED / FED CCB DEPOSIT
'5191230000000000',DR,20260323,-87.07,IDP PURCHASE - 7937 NO FRILLS #3233 TORONTO ON
'5191230000000000',DR,20260323,-11.80,IDP PURCHASE - 8188 STARBUCKS #2156 TORONTO ON
'5191230000000000',DR,20260326,-866.79,AMEX CREDIT CARD/LOC PAY
'5191230000000000',DR,20260326,-80.23,IDP PURCHASE - 7521 LOBLAWS #2833 TORONTO ON
