"Account Type","Account Number","Transaction Date","Cheque Number","Description 1","Description 2","CAD$","USD$"
Chequing,04421-1234567,03/11/2026,,ATM WITHDRAWAL 100 QUEEN ST W,,-60.00,
Chequing,04421-1234567,03/15/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2483.18,
Chequing,04421-1234567,03/16/2026,,IDP PURCHASE - 5938 PIZZA,NOVA #4381 ON,-40.10,
Chequing,04421-1234567,03/16/2026,,TRANSFER TO RRSP WEALTHSIMPLE,,-450.00,
Chequing,04421-1234567,03/22/2026,,AMZ*UBER EATS TORONTO ON,,-62.31,
Chequing,04421-1234567,03/28/2026,,MONTHLY ACCOUNT FEE,,-11.95,
Chequing,04421-1234567,03/30/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2427.18,
Chequing,04421-1234567,03/31/2026,,UBER TRIP HELP.UBER.COM ON,,-39.98,
Chequing,04421-1234567,04/08/2026,,AMZ*UBER EATS TORONTO ON,,-58.80,
Chequing,04421-1234567,04/11/2026,,ATM WITHDRAWAL 100 QUEEN ST W,,-60.00,
Chequing,04421-1234567,04/15/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2503.18,
Chequing,04421-1234567,04/16/2026,,IDP PURCHASE - 3448 LOBLAWS,#1133 TORONTO ON,-98.24,
Chequing,04421-1234567,04/16/2026,,TRANSFER TO RRSP WEALTHSIMPLE,,-450.00,
Chequing,04421-1234567,04/20/2026,,AMZ*UBER EATS TORONTO ON,,-41.33,
Chequing,04421-1234567,04/28/2026,,MONTHLY ACCOUNT FEE,,-11.95,
Chequing,04421-1234567,04/30/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2464.18,
Chequing,04421-1234567,05/11/2026,,ATM WITHDRAWAL 100 QUEEN ST W,,-60.00,
Chequing,04421-1234567,05/12/2026,,AMZ*UBER EATS TORONTO ON,,-67.74,
Chequing,04421-1234567,05/15/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2490.18,
Chequing,04421-1234567,05/16/2026,,TRANSFER TO RRSP WEALTHSIMPLE,,-450.00,
Chequing,04421-1234567,05/19/2026,,IDP PURCHASE - 4558 STARBUCKS,#583 TORONTO ON,-9.88,
Chequing,04421-1234567,05/22/2026,,IDP PURCHASE - 1056 TIM,HORTONS #4137 TORONTO ON,-9.33,
Chequing,04421-1234567,05/28/2026,,MONTHLY ACCOUNT FEE,,-11.95,
Chequing,04421-1234567,05/30/2026,,AMZ*UBER EATS TORONTO ON,,-56.12,
Chequing,04421-1234567,05/30/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2482.18,
Chequing,04421-1234567,06/03/2026,,UBER TRIP HELP.UBER.COM ON,,-29.71,
Chequing,04421-1234567,06/05/2026,,IDP PURCHASE - 1305 STARBUCKS,#3085 TORONTO ON,-6.60,
Chequing,04421-1234567,06/05/2026,,IDP PURCHASE - 1706 SHOPPERS,DRUG MART #373 ON,-24.89,
Chequing,04421-1234567,06/07/2026,,IDP PURCHASE - 5024 CANADIAN,TIRE #1865 ON,-49.25,
Chequing,04421-1234567,06/11/2026,,ATM WITHDRAWAL 100 QUEEN ST W,,-60.00,
Chequing,04421-1234567,06/15/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2445.18,
Chequing,04421-1234567,06/16/2026,,PRESTO FARE/TRANSIT TORONTO ON,,-72.31,
Chequing,04421-1234567,06/16/2026,,TRANSFER TO RRSP WEALTHSIMPLE,,-450.00,
Chequing,04421-1234567,06/26/2026,,IDP PURCHASE - 4200 LCBO/RAO,#4654 TORONTO ON,-67.52,
Chequing,04421-1234567,06/27/2026,,IDP PURCHASE - 7497,PETRO-CANADA #3341 ON,-61.28,
Chequing,04421-1234567,06/28/2026,,MONTHLY ACCOUNT FEE,,-11.95,
Chequing,04421-1234567,06/30/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2472.18,
Chequing,04421-1234567,07/11/2026,,ATM WITHDRAWAL 100 QUEEN ST W,,-60.00,
Chequing,04421-1234567,07/11/2026,,IDP PURCHASE - 1709 LCBO/RAO,#1410 TORONTO ON,-54.08,
Chequing,04421-1234567,07/12/2026,,IDP PURCHASE - 5908 TIM,HORTONS #770 TORONTO ON,-3.25,
Chequing,04421-1234567,07/15/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2496.18,
Chequing,04421-1234567,07/16/2026,,TRANSFER TO RRSP WEALTHSIMPLE,,-450.00,
Chequing,04421-1234567,07/21/2026,,UBER TRIP HELP.UBER.COM ON,,-25.48,
Chequing,04421-1234567,07/22/2026,,AMZ*UBER EATS TORONTO ON,,-25.48,
Chequing,04421-1234567,07/23/2026,,IDP PURCHASE - 5936 INDIGO,#1561 ON,-20.35,
Chequing,04421-1234567,07/28/2026,,MONTHLY ACCOUNT FEE,,-11.95,
Chequing,04421-1234567,07/29/2026,,IDP PURCHASE - 1220 SHOPPERS,DRUG MART #1008 ON,-69.70,
Chequing,04421-1234567,07/30/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2438.18,
Chequing,04421-1234567,08/11/2026,,ATM WITHDRAWAL 100 QUEEN ST W,,-60.00,
Chequing,04421-1234567,08/11/2026,,IDP PURCHASE - 6414 TIM,HORTONS #3059 TORONTO ON,-7.39,
Chequing,04421-1234567,08/15/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2486.18,
Chequing,04421-1234567,08/16/2026,,TRANSFER TO RRSP WEALTHSIMPLE,,-450.00,
Chequing,04421-1234567,08/21/2026,,IDP PURCHASE - 2774 SWISS,CHALET #2911 ON,-70.89,
Chequing,04421-1234567,08/23/2026,,IDP PURCHASE - 9610 NO FRILLS,#1648 TORONTO ON,-92.35,
Chequing,04421-1234567,08/26/2026,,IDP PURCHASE - 6039 INDIGO,#4565 ON,-47.51,
Chequing,04421-1234567,08/26/2026,,IDP PURCHASE - 6631 SHOPPERS,DRUG MART #1664 ON,-14.09,
Chequing,04421-1234567,08/28/2026,,MONTHLY ACCOUNT FEE,,-11.95,
Chequing,04421-1234567,08/30/2026,,PAYROLL DEPOSIT NORTHWIND,LOGISTICS,2428.18,
Chequing,04421-1234567,08/31/2026,,IDP PURCHASE - 6285 TIM,HORTONS #3283 TORONTO ON,-10.53,
